State,Year,Income
New Hampshire,1996,23331
New Hampshire,1997,24472
New Hampshire,1998,26559
New Hampshire,1999,27738
New Hampshire,2000,30508
New Hampshire,2001,32230
New Hampshire,2002,33274
New Hampshire,2003,33966
New Hampshire,2004,35978
New Hampshire,2005,36743
New Hampshire,2006,38863
New Hampshire,2007,39995
New Hampshire,2008,41200
New Hampshire,2009,41575
New Hampshire,2010,43254
New Hampshire,2011,44612
New Hampshire,2012,46653
New Hampshire,2013,45940
New Hampshire,2014,47363
New Jersey,1984,14609
New Jersey,1985,15407
New Jersey,1986,16349
New Jersey,1987,17353
New Jersey,1988,19170
New Jersey,1989,20554
New Jersey,1990,21556
New Jersey,1991,21919
New Jersey,1992,23410
New Jersey,1993,23904
New Jersey,1994,24445
New Jersey,1995,25794
New Jersey,1996,26870
New Jersey,1997,28153
New Jersey,1998,29448
New Jersey,1999,30341
New Jersey,2000,32872
New Jersey,2001,33864
New Jersey,2002,35131
New Jersey,2003,36177
New Jersey,2004,37718
New Jersey,2005,38576
New Jersey,2006,41233
New Jersey,2007,43114
New Jersey,2008,44338
New Jersey,2009,44237
New Jersey,2010,45207
New Jersey,2011,46200
New Jersey,2012,47906
New Jersey,2013,47345
New Jersey,2014,49332
New Mexico,1984,10594
New Mexico,1985,11266
New Mexico,1986,11572
New Mexico,1987,11805
New Mexico,1988,12383
New Mexico,1989,13082
New Mexico,1990,13793
New Mexico,1991,14484
New Mexico,1992,15202
New Mexico,1993,15899
New Mexico,1994,16479
New Mexico,1995,17341
New Mexico,1996,17805
New Mexico,1997,18381
New Mexico,1998,19083
New Mexico,1999,19207
New Mexico,2000,20618
New Mexico,2001,21888
New Mexico,2002,22911
New Mexico,2003,23872
New Mexico,2004,25124
New Mexico,2005,26232
New Mexico,2006,27614
New Mexico,2007,28749
New Mexico,2008,30528
New Mexico,2009,30306
New Mexico,2010,31185
New Mexico,2011,32152
New Mexico,2012,32861
New Mexico,2013,31928
New Mexico,2014,33898
New York,1984,13587
New York,1985,14409
New York,1986,15338
New York,1987,16160
New York,1988,17865
New York,1989,19156
New York,1990,20644
New York,1991,20645
New York,1992,21711
New York,1993,22080
New York,1994,22662
New York,1995,23746
New York,1996,24705
New York,1997,25810
New York,1998,26922
New York,1999,28199
New York,2000,30065
New York,2001,30705
