State,Rate,Year
New Mexico,1511.4,1992
New Mexico,1421.2,1993
New Mexico,1326.8,1994
New Mexico,1447.1,1995
New Mexico,1376.9,1996
New Mexico,1452.4,1997
New Mexico,1394,1998
New Mexico,1234.7,1999
New Mexico,1173.1,2000
New Mexico,1067.9,2001
New Mexico,1060.1,2002
New Mexico,1011.3,2003
New Mexico,1047,2004
New Mexico,1087.2,2005
New Mexico,1069.6,2006
New Mexico,1057.1,2007
New Mexico,1043.5,2008
New Mexico,1092.5,2009
New Mexico,1017.6,2010
New Mexico,1030.4,2011
New Mexico,1026.3,2012
New Mexico,1046,2013
New Mexico,887.3,2014
New York,1257.2,1984
New York,1235.1,1985
New York,1221.1,1986
New York,1216.4,1987
New York,1218.3,1988
New York,1176.2,1989
New York,1160.7,1990
New York,1132.5,1991
New York,1068.2,1992
New York,998.6,1993
New York,906.2,1994
New York,808.1,1995
New York,713.9,1996
New York,652.3,1997
New York,576.7,1998
New York,512.3,1999
New York,463.4,2000
New York,421.3,2001
New York,400.9,2002
New York,392.7,2003
New York,366.7,2004
New York,352.2,2005
New York,355.4,2006
New York,336.4,2007
New York,336.3,2008
New York,321.2,2009
New York,339.5,2010
New York,334.5,2011
New York,328.9,2012
New York,286.6,2013
New York,257.2,2014
North Carolina,1131.3,1984
North Carolina,1150.8,1985
North Carolina,1225,1986
North Carolina,1356.1,1987
North Carolina,1391.2,1988
North Carolina,1503.5,1989
North Carolina,1530.4,1990
North Carolina,1692.3,1991
North Carolina,1653,1992
North Carolina,1515.8,1993
North Carolina,1472.7,1994
North Carolina,1417.6,1995
North Carolina,1345.6,1996
North Carolina,1346.8,1997
North Carolina,1324.6,1998
North Carolina,1286.9,1999
North Carolina,1216.1,2000
North Carolina,1241.6,2001
North Carolina,1198.4,2002
North Carolina,1195.6,2003
North Carolina,1184.9,2004
North Carolina,1202.6,2005
North Carolina,1211.9,2006
North Carolina,1199.6,2007
North Carolina,1209.6,2008
North Carolina,1149.5,2009
North Carolina,1075.6,2010
North Carolina,1093.5,2011
North Carolina,1018.9,2012
North Carolina,915.7,2013
North Carolina,798.2,2014
North Dakota,399.1,1984
North Dakota,427,1985
North Dakota,385.1,1986
North Dakota,455.4,1987
North Dakota,437.7,1988
North Dakota,358.9,1989
North Dakota,426.6,1990
North Dakota,372.8,1991
North Dakota,391,1992
North Dakota,373.2,1993
North Dakota,324.5,1994
North Dakota,350.7,1995
North Dakota,309.2,1996
North Dakota,358.8,1997
North Dakota,356.4,1998
North Dakota,368.8,1999
North Dakota,325.9,2000
North Dakota,340.1,2001
North Dakota,353.8,2002
North Dakota,309.3,2003
North Dakota,320.6,2004
North Dakota,321.9,2005
North Dakota,409,2006
North Dakota,361.7,2007
North Dakota,364.2,2008
North Dakota,375.1,2009
North Dakota,296.5,2010
North Dakota,359,2011
North Dakota,346.3,2012
North Dakota,411.5,2013
North Dakota,366.1,2014
Ohio,1049.9,1984
Ohio,976.5,1985
Ohio,987.8,1986
Ohio,1062.5,1987
Ohio,1031.4,1988
Ohio,1018.2,1989
Ohio,982.5,1990
Ohio,1055.2,1991
Ohio,947.3,1992
Ohio,878.1,1993
Ohio,866.3,1994
Ohio,838.8,1995
Ohio,835.4,1996
Ohio,844.6,1997
Ohio,810.1,1998
Ohio,773.1,1999
Ohio,780.7,2000
Ohio,850.9,2001
Ohio,869.2,2002
Ohio,831.3,2003
Ohio,842.9,2004
Ohio,873.4,2005
Ohio,920.4,2006
Ohio,863.8,2007
Ohio,891.8,2008
Ohio,901.1,2009
Ohio,928.5,2010
Ohio,978.3,2011
Ohio,911.6,2012
Ohio,787.2,2013
Ohio,680,2014
Oklahoma,1454.8,1984
Oklahoma,1612.1,1985
Oklahoma,1786.8,1986
Oklahoma,1782.8,1987
Oklahoma,1643.4,1988
